"id_ad","title","price","location","description","creation_date","scrape_date","bedrooms","living_area","plot_area","rooms","bathrooms","floors","commission","house_type","year_built","view_counter","active_flag","seller_name","number_of_ads","link","user_type","active_since","longitude","latitude","delta_flag"
"3000294477","Einfamilienwohnhaus mit Nebengebäude und Garage im OT Pflaumheim","398000.0","63762 Bayern - Großostheim",NULL,"2025-03-12","2025-03-30 14:00:05.181159",4,"152.0","641.0",6,1,2,"Mit Provision","Einfamilienhaus freistehend",1930,2352,False,"Golden Home Real LTD & Co KG - Lepeschka Günther",194,"https://www.kleinanzeigen.de/s-anzeige/einfamilienwohnhaus-mit-nebengebaeude-und-garage-im-ot-pflaumheim/3000294477-208-7416",NULL,NULL,"9.0714993","49.9210916",True
"2987288057","Dein EFH, mit Bodenplatte , Küche und Sonderdarlehen","551673.0","63773 Bayern - Goldbach",NULL,"2025-01-27","2025-02-13 14:00:27.943278",2,"130.0","360.0",4,1,2,"Keine zusätzliche Käuferprovision","Einfamilienhaus freistehend",NULL,130,False,"Gülsen Akay - Freie Handelsvertretung der Living Fertighaus GmbH - Handelsvertretung der Living Fert",200,"https://www.kleinanzeigen.de/s-anzeige/dein-efh-mit-bodenplatte-kueche-und-sonderdarlehen/2987288057-208-7439","Gewerblicher Nutzer","2024-05-14","9.1740408","50.0112282",True
"2987287793","EFH alles inklusive, das gibt´s nur bei Livinghaus","803703.0","63814 Bayern - Mainaschaff",NULL,"2025-01-27","2025-02-13 14:00:26.798687",3,"125.0","798.0",4,1,2,"Keine zusätzliche Käuferprovision","Einfamilienhaus freistehend",NULL,247,False,"Gülsen Akay - Freie Handelsvertretung der Living Fertighaus GmbH - Handelsvertretung der Living Fert",200,"https://www.kleinanzeigen.de/s-anzeige/efh-alles-inklusive-das-gibt-s-nur-bei-livinghaus/2987287793-208-7435","Gewerblicher Nutzer","2024-05-14","9.0887049","49.9843535",True
"2987287968","Gewöhnlich war gestern! Dein Haus für Individualisten.","636055.0","63849 Bayern - Leidersbach",NULL,"2025-01-27","2025-02-13 14:00:27.318961",4,"191.0","1750.0",7,3,2,"Keine zusätzliche Käuferprovision","Einfamilienhaus freistehend",NULL,126,False,"Gülsen Akay - Freie Handelsvertretung der Living Fertighaus GmbH - Handelsvertretung der Living Fert",200,"https://www.kleinanzeigen.de/s-anzeige/gewoehnlich-war-gestern-dein-haus-fuer-individualisten-/2987287968-208-7430","Gewerblicher Nutzer","2024-05-14","9.2413586","49.8921045",True
"3005290583","Ihr individuell gestaltetes Traumhaus in Leidersbach inkl. Grundstück, Bodenplatte und KFW55","390000.0","63849 Bayern - Leidersbach",NULL,"2025-03-30","2025-04-11 18:00:12.628276",4,"192.0","1789.0",5,1,2,"Keine zusätzliche Käuferprovision","Einfamilienhaus freistehend",2025,270,True,"allkauf haus GmbH - Funda Agkoc",3635,"https://www.kleinanzeigen.de/s-anzeige/ihr-individuell-gestaltetes-traumhaus-in-leidersbach-inkl-grundstueck-bodenplatte-und-kfw55/3005290583-208-7430","Gewerblicher Nutzer","2017-10-17","9.2413586","49.8921045",True
"2421546172","Einfamilienhaus, freistehend, ruhige Lage","490000.0","63533 Hessen - Mainhausen",NULL,"2024-09-14","2025-04-11 17:38:51.78999",NULL,"132.0","600.0",6,NULL,2,"Keine zusätzliche Käuferprovision","Einfamilienhaus freistehend",1966,8704,True,"Ellen Lindner",7,"https://www.kleinanzeigen.de/s-anzeige/einfamilienhaus-freistehend-ruhige-lage/2421546172-208-4824","Privater Nutzer","2013-03-13","9.0150043","50.0134137",True
"2943200844","*Bauen mit ELBE-HAUS®* - Massiv. Ökologisch. Individuell. -  „Modernes Einfamilienhaus mit eckigem Giebel – Individuell geplant für Ihr Familienglück“","454631.0","63762 Bayern - Großostheim",NULL,"2025-02-04","2025-02-07 06:00:14.817751",3,"124.0","411.0",4,1,1,"Keine zusätzliche Käuferprovision","Einfamilienhaus freistehend",NULL,716,False,"Wolfgang Klier",10,"https://www.kleinanzeigen.de/s-anzeige/-bauen-mit-elbe-haus-massiv-oekologisch-individuell-modernes-einfamilienhaus-mit-eckigem-giebel-individuell-geplant-fuer-ihr-familienglueck-/2943200844-208-7416",NULL,NULL,"9.0714993","49.9210916",True
"2993583169","Doppelhaushälfte mit Garten Provisionsfrei","489000.0","63801 Bayern - Kleinostheim","Doppelhaushälfte (Massivbauweise), voll unterkellert auf 311 qm großem Grundstück mit extragroßer Garage und PKW Stellplatz in familienfreundlicher Umgebung.<br /><br />Aufteilung:<br />EG: Abgetrennter Eingangsbereich mit Gäste-WC, Flur mit Zugang zum Wohn-/Esszimmer und Küche.<br />OG: Drei Schlafzimmer und Bad<br />DG: Schlafzimmer mit begehbarem Kleiderschrank und angeschlossenem Badezimmer<br />KG: Waschküche, Hobbyraum, Kellerraum<br /><br />Das helle Wohnzimmer mit Speicherofen (hält Wärme bis 12 Stunden) hat einen Zugang über eine Holztreppe auf die Terrasse. Der Erker mit seinen drei Fenstern ist der ideale Platz für den Esstisch.<br />Die Küche mit 90cm Induktionskochfeld, Abluft-Dunstabzugshaube, Backofen in Komforthöhe und Side by Side Kühlschrank ist direkt angrenzend.<br /><br />Im ersten Obergeschoss befinden sich drei Schlafzimmer, eins mit Zugang zum Balkon. Das angrenzende Schlafzimmer wurde durch eine Wand in Trockenbauweise abgetrennt. Je nach Bedarf kann dies ohne großen Aufwand wieder Rückgängig gemacht werden.<br />Das dritte Schlafzimmer mit zwei Fenstern ist etwas größer.<br />In allen drei Zimmern und dem Flur ist ein hochwertiger Vinylboden verlegt.<br />Das Bad wurde mit begehbarer Dusche modernisiert.<br /><br />Im Dachgeschoss liegt das größte Zimmer mit begehbarem Kleiderschrank und angrenzendem Bad. Bodenbelag im Schlafzimmer ist Laminat, im Bad Vinyl. Weiterhin gibt es hier einen in der Dachschräge liegenden Stauraum.<br /><br />Im größtem Kellerraum ist die Gasheizung untergebracht, hier gibt es viel Stauraum.<br />Der zweite Raum ist mit einem Laminatboden ausgelegt und kann als Büro / Gästezimmer genutzt werden. Der dritte Kellerraum ist die Waschküche mit einem gemauerten Podest für Waschmaschine und Trockner.<br /><br />Der Garten mit kleiner Teichwanne und Hochbeeten bietet genügend Platz für Kinderspielgeräte oder Liegestühle. Die Pflanzen bieten einen guten Sichtschutz.<br />Die überlange Garage bietet Stauraum oder Platz für eine Werkbank. Das Tor ist vollelektrisch zu öffnen.<br /><br />Beide Badezimmer wurden 2021 renoviert, die hochwertige Einbauküche stammt aus 2020. In diesem Jahr wurden im Obergeschoss und Dachgeschoss neue Fußböden verlegt und diverse weitere Modernisierungen und Verschönerungen vorgenommen.<br />Zuletzt wurde in 2023 das Dachfenster im DG mit Rolladen erneuert.<br />Im Außenbereich wurde die Terrasse neu angelegt und überdacht, das Hoftor installiert und das Garagentor erneuert.<br /><br />Die Doppelhaushälfte befindet sich in idealer Lage- der Bahnhof Kleinostheim ist in wenigen Minuten fußläufig zu erreichen, die Entfernung ins Grüne ist identisch. Auch Bäcker, Lebensmittelmärkte und Kindergarten sind zu Fuß in wenigen Minuten erreichbar.<br /><br />Die wichtigsten Fakten:<br /><br />Ausstattung<br />• ca. 140 qm Wohnfläche plus Keller<br />• Baujahr 1988<br />• Renoviert ab 2020<br />• Heizung: Gas + Kaminofen<br />• Einbauküche<br />• Vinylboden im Obergeschoss<br />• 5 Zimmer<br />• 4 Schlafzimmer<br />• Dachgeschoss ausgebaut<br />• Schöner Garten mit kleinem Teich<br />• Voll unterkellert<br />• Große Garage<br />•. Gästezimmer im Kellergeschoss<br />• Neue Bäder<br />• Gäste WC im Eingangsbereich<br />• Schöne helle Räume<br />• Große Terrasse mit Überdachung<br />Bodenbelag: Fliesen, Vinyl, Laminat<br />Verkauf von Privat ohne Maklergebühren.<br /><br />Frei nach Absprache.<br />Kontaktaufnahme bitte mit vollständigem Namen und Telefonnummer.<br />Energieausweis liegt vor.","2025-02-02","2025-02-04 14:00:45.574818",4,"140.0","311.0",5,2,3,"Keine zusätzliche Käuferprovision","Doppelhaushälfte",1988,397,False,"MB",3,"https://www.kleinanzeigen.de/s-anzeige/doppelhaushaelfte-mit-garten-provisionsfrei/2993583169-208-7433","Privater Nutzer","2023-01-27","9.0701576","50.019441",True
"3004963880","Hause zum verkauf","335000.0","63533 Hessen - Mainhausen",NULL,"2025-02-15","2025-03-02 06:00:11.55544",NULL,"100.0","300.0",4,1,2,"Keine zusätzliche Käuferprovision",NULL,NULL,696,False,"Cristina und Filip",NULL,"https://www.kleinanzeigen.de/s-anzeige/hause-zum-verkauf/3004963880-208-4824","Privater Nutzer","2024-01-21","9.0150043","50.0134137",NULL
"2941556311","Für Kapitalanleger: Mehrfamilienhaus im Brentanoviertel","1590000.0","63739 Bayern - Aschaffenburg",NULL,"2025-02-02","2025-03-03 06:00:08.931709",NULL,"496.0","290.0",14,8,4,"Mit Provision","Mehrfamilienhaus",1968,1795,False,"Aurelion & Company - Alexandra Wissel",129,"https://www.kleinanzeigen.de/s-anzeige/fuer-kapitalanleger-mehrfamilienhaus-im-brentanoviertel/2941556311-208-7437","Gewerblicher Nutzer","2015-12-11","9.1648907","49.973154",True
